track,artist,spotify_url
See You On Monday (You're Lost),Tame Impala,https://open.spotify.com/track/4dReLsqSqYhrC83Qgg7Lyx
Obsolete,Tame Impala,https://open.spotify.com/track/0On1SxfkvTOfzvjVgFLK7V
GREEDY,"PARTYNEXTDOOR, Drake",https://open.spotify.com/track/2MjQmsRAUArE2GDwjsVew3
Not My World,Tame Impala,https://open.spotify.com/track/12wDKbddX9bUYHd1Rl8gmu
MEET YOUR PADRE,"PARTYNEXTDOOR, Drake, Chino Pacas",https://open.spotify.com/track/0o5p5zzRN84q6qVbOVONPM
RAINING IN HOUSTON,Drake,https://open.spotify.com/track/2xxb5zW09uwbgyLprALi9E
man at the garden,Kendrick Lamar,https://open.spotify.com/track/5ho7VSXSmI2KM2nDjcnLyz
Oblivion,Tame Impala,https://open.spotify.com/track/1grOl5UNPBMDtrW96KbNdH
squabble up,Kendrick Lamar,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb
reincarnated,Kendrick Lamar,https://open.spotify.com/track/0RgjEkSbeuStKfT2Pa4Zai
True Colors,Artists Against,https://open.spotify.com/track/74zpVBJDeKHniaA8psl8ep
gloria (with sza),"Kendrick Lamar, SZA",https://open.spotify.com/track/0wgOhYnqZKjOHr6bmdz0aN
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",https://open.spotify.com/track/4K1Pg0FLno1ltzX3jeqT83
OMW,"PARTYNEXTDOOR, Drake",https://open.spotify.com/track/775a936b2Vzl3fw86FaVat
No Reply,Tame Impala,https://open.spotify.com/track/5x0zW1JcdON7Zli2umGEJg
NOKIA,Drake,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg
